Index,type
57,Townhouse
315,House
832,Condo
856,House
860,Condo
865,House
873,House
875,Condo
940,House
1027,House
1030,House
1033,House
1050,House
1079,Townhouse
1206,Condo
1238,House
1293,Condo
1318,House
1322,Condo
1656,House
1748,House
1810,House
1915,House
2203,weird
2217,House
2277,House
2279,Condo
2298,House
2303,House
2363,House
2390,House
2395,House
2401,House
2412,House
2415,Condo
2423,House
2441,House
2446,House
2457,House
2498,weird
2526,House
2574,House
2615,House
2664,House
2683,House
2704,House
2724,House
2753,House
2762,House
2763,House
2822,House
2854,Condo
2868,Condo
2886,Condo
2925,Condo
2941,House
2988,House
