address_name,address_url,address_type,address_price,address_bedrooms,address_bathrooms,address_sqft
"1221 Victoria St APT 1101, Honolulu, HI 96814",https://www.zillow.com/homedetails/1221-Victoria-St-APT-1101-Honolulu-HI-96814/82456581_zpid/,Condo for sale,"$199,000.00",2 bds,2 ba,"1,692 sqft"
"4999 Kahala Ave APT 265, Honolulu, HI 96816",https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-265-Honolulu-HI-96816/82487822_zpid/,Condo for sale,"$39,900.00",2 bds,2 ba,"1,258 sqft"
"5621 Kalanianaole Hwy, Honolulu, HI 96821",https://www.zillow.com/homedetails/5621-Kalanianaole-Hwy-Honolulu-HI-96821/616233_zpid/,House for sale,"$6,995,000.00",7 bds,6 ba,"6,689 sqft"
"1007 Koko Kai Pl, Honolulu, HI 96825",https://www.zillow.com/homedetails/1007-Koko-Kai-Pl-Honolulu-HI-96825/63815252_zpid/,House for sale,"$2,400,000.00",4 bds,4 ba,"3,400 sqft"
"1221 Victoria St APT 2404, Honolulu, HI 96814",https://www.zillow.com/homedetails/1221-Victoria-St-APT-2404-Honolulu-HI-96814/82510985_zpid/,Condo for sale,"$265,000.00",2 bds,3 ba,"1,586 sqft"
"1417 Mokuna Pl, Honolulu, HI 96816",https://www.zillow.com/homedetails/1417-Mokuna-Pl-Honolulu-HI-96816/607099_zpid/,House for sale,"$849,000.00",3 bds,2 ba,"1,170 sqft"
"4999 Kahala Ave APT 108, Honolulu, HI 96816",https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-108-Honolulu-HI-96816/82439656_zpid/,Condo for sale,"$70,000.00",2 bds,2 ba,"1,258 sqft"
"1860 Ala Moana Blvd PENTHOUSE 2300, Honolulu, HI 96815",https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-PENTHOUSE-2300-Honolulu-HI-96815/82490259_zpid/,Condo for sale,"$495,000.00",3 bds,2 ba,"1,667 sqft"
"340A Kawaihae St #340A, Honolulu, HI 96825",https://www.zillow.com/homedetails/340A-Kawaihae-St-340A-Honolulu-HI-96825/2077814347_zpid/,Townhouse for sale,"$695,000.00",3 bds,2 ba,"1,300 sqft"
"4999 Kahala Ave APT 209, Honolulu, HI 96816",https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-209-Honolulu-HI-96816/82390653_zpid/,Condo for sale,"$109,000.00",2 bds,2 ba,"1,555 sqft"
"2240 Kuhio Ave APT 3801, Honolulu, HI 96815",https://www.zillow.com/homedetails/2240-Kuhio-Ave-APT-3801-Honolulu-HI-96815/82434916_zpid/,Condo for sale,"$298,000.00",3 bds,3 ba,"2,000 sqft"
"7719 Waikapu Loop, Honolulu, HI 96825",https://www.zillow.com/homedetails/7719-Waikapu-Loop-Honolulu-HI-96825/623425_zpid/,House for sale,"$1,050,000.00",4 bds,2 ba,"1,566 sqft"
"5070 Likini St APT 1607, Honolulu, HI 96818",https://www.zillow.com/homedetails/5070-Likini-St-APT-1607-Honolulu-HI-96818/82501023_zpid/,Condo for sale,"$725,000.00",3 bds,2 ba,"1,504 sqft"
"3249 Diamond Head Rd, Honolulu, HI 96815",https://www.zillow.com/homedetails/3249-Diamond-Head-Rd-Honolulu-HI-96815/600878_zpid/,House for sale,"$19,500,000.00",6 bds,8 ba,"7,501 sqft"
"3138 Waialae Ave APT 118, Honolulu, HI 96816",https://www.zillow.com/homedetails/3138-Waialae-Ave-APT-118-Honolulu-HI-96816/82451558_zpid/,Condo for sale,"$119,000.00",2 bds,2 ba,"1,028 sqft"
"1543 Saint Louis Dr, Honolulu, HI 96816",https://www.zillow.com/homedetails/1543-Saint-Louis-Dr-Honolulu-HI-96816/608478_zpid/,House for sale,"$995,000.00",3 bds,2 ba,"1,216 sqft"
"1717 Ala Wai Blvd APT 510, Honolulu, HI 96815",https://www.zillow.com/homedetails/1717-Ala-Wai-Blvd-APT-510-Honolulu-HI-96815/82486175_zpid/,Condo for sale,"$525,000.00",3 bds,2 ba,"1,130 sqft"
"45-449 Hoene Pl, Kaneohe, HI 96744",https://www.zillow.com/homedetails/45-449-Hoene-Pl-Kaneohe-HI-96744/641732_zpid/,House for sale,"$975,000.00",4 bds,4 ba,"1,998 sqft"
"1365 Kukana Way, Kailua, HI 96734",https://www.zillow.com/homedetails/1365-Kukana-Way-Kailua-HI-96734/2077785113_zpid/,House for sale,"$2,400,000.00",5 bds,5 ba,"4,840 sqft"
"4362 Hakupapa St, Honolulu, HI 96818",https://www.zillow.com/homedetails/4362-Hakupapa-St-Honolulu-HI-96818/715694_zpid/,House for sale,"$920,000.00",4 bds,2 ba,"1,795 sqft"
